0, 0.01, 100  app.js:40:9
1, 0.01, 100  app.js:40:9
2, 0.01, 98  app.js:40:9
3, 0.01, 100  app.js:40:9
4, 0.01, 99
5, 0.02, 98  app.js:40:9
6, 0.02, 99  app.js:40:9
7, 0.02, 99  app.js:40:9
8, 0.02, 99  app.js:40:9
9, 0.02, 100
10, 0.03, 99  app.js:40:9
11, 0.03, 98  app.js:40:9
12, 0.03, 100  app.js:40:9
13, 0.03, 100  app.js:40:9
14, 0.03, 98  app.js:40:9
15, 0.04, 99  app.js:40:9
16, 0.04, 98  app.js:40:9
17, 0.04, 98  app.js:40:9
18, 0.04, 99  app.js:40:9
19, 0.04, 100
20, 0.05, 99  app.js:40:9
21, 0.05, 99  app.js:40:9
22, 0.05, 99  app.js:40:9
23, 0.05, 99  app.js:40:9
24, 0.05, 99
25, 0.06, 99  app.js:40:9
26, 0.06, 99  app.js:40:9
27, 0.06, 99  app.js:40:9
28, 0.06, 99  app.js:40:9
29, 0.06, 99
30, 0.07, 99  app.js:40:9
31, 0.07, 100  app.js:40:9
32, 0.07, 99  app.js:40:9
33, 0.07, 98  app.js:40:9
34, 0.07, 98  app.js:40:9
35, 0.08, 99  app.js:40:9
36, 0.08, 99  app.js:40:9
37, 0.08, 99  app.js:40:9
38, 0.08, 98  app.js:40:9
39, 0.08, 99
40, 0.09, 99  app.js:40:9
41, 0.09, 99  app.js:40:9
42, 0.09, 99  app.js:40:9
43, 0.09, 99  app.js:40:9
44, 0.09, 99
45, 0.1, 98  app.js:40:9
46, 0.1, 98  app.js:40:9
47, 0.1, 100  app.js:40:9
48, 0.1, 100  app.js:40:9
49, 0.1, 100
50, 0.11, 99  app.js:40:9
51, 0.11, 99  app.js:40:9
52, 0.11, 99  app.js:40:9
53, 0.11, 99  app.js:40:9
54, 0.11, 99
55, 0.12, 98  app.js:40:9
56, 0.12, 99  app.js:40:9
57, 0.12, 99  app.js:40:9
58, 0.12, 99  app.js:40:9
59, 0.12, 99
60, 0.13, 99  app.js:40:9
61, 0.13, 98  app.js:40:9
62, 0.13, 99  app.js:40:9
63, 0.13, 99  app.js:40:9
64, 0.13, 99
65, 0.14, 99  app.js:40:9
66, 0.14, 99  app.js:40:9
67, 0.14, 99  app.js:40:9
68, 0.14, 99  app.js:40:9
69, 0.14, 99
70, 0.15, 99  app.js:40:9
71, 0.15, 99  app.js:40:9
72, 0.15, 99  app.js:40:9
73, 0.15, 99  app.js:40:9
74, 0.15, 99  app.js:40:9
75, 0.16, 99  app.js:40:9
76, 0.16, 99  app.js:40:9
77, 0.16, 99  app.js:40:9
78, 0.16, 99  app.js:40:9
79, 0.16, 99
80, 0.17, 99  app.js:40:9
81, 0.17, 99  app.js:40:9
82, 0.17, 98  app.js:40:9
83, 0.17, 99  app.js:40:9
84, 0.17, 99
85, 0.18, 99  app.js:40:9
86, 0.18, 99  app.js:40:9
87, 0.18, 98  app.js:40:9
88, 0.18, 99  app.js:40:9
89, 0.18, 99
90, 0.19, 98  app.js:40:9
91, 0.19, 99  app.js:40:9
92, 0.19, 98  app.js:40:9
93, 0.19, 99  app.js:40:9
94, 0.19, 99  app.js:40:9
95, 0.2, 99  app.js:40:9
96, 0.2, 99  app.js:40:9
97, 0.2, 98  app.js:40:9
98, 0.2, 99  app.js:40:9
99, 0.2, 98  app.js:40:9
100, 0.21, 99  app.js:40:9
101, 0.21, 99  app.js:40:9
102, 0.21, 99  app.js:40:9
103, 0.21, 99  app.js:40:9
104, 0.21, 99  app.js:40:9
105, 0.22, 98  app.js:40:9
106, 0.22, 99  app.js:40:9
107, 0.22, 99  app.js:40:9
108, 0.22, 99  app.js:40:9
109, 0.22, 98  app.js:40:9
110, 0.23, 98  app.js:40:9
111, 0.23, 98  app.js:40:9
112, 0.23, 98  app.js:40:9
113, 0.23, 99  app.js:40:9
114, 0.23, 99  app.js:40:9
115, 0.24, 98  app.js:40:9
116, 0.24, 99  app.js:40:9
117, 0.24, 99  app.js:40:9
118, 0.24, 99  app.js:40:9
119, 0.24, 98  app.js:40:9
120, 0.25, 99  app.js:40:9
121, 0.25, 98  app.js:40:9
122, 0.25, 98  app.js:40:9
123, 0.25, 99  app.js:40:9
124, 0.25, 99  app.js:40:9
125, 0.26, 98  app.js:40:9
126, 0.26, 99  app.js:40:9
127, 0.26, 98  app.js:40:9
128, 0.26, 99  app.js:40:9
129, 0.26, 98  app.js:40:9
130, 0.27, 98  app.js:40:9
131, 0.27, 98  app.js:40:9
132, 0.27, 98  app.js:40:9
133, 0.27, 99  app.js:40:9
134, 0.27, 98  app.js:40:9
135, 0.28, 98  app.js:40:9
136, 0.28, 98  app.js:40:9
137, 0.28, 98  app.js:40:9
138, 0.28, 98  app.js:40:9
139, 0.28, 99  app.js:40:9
140, 0.29, 98  app.js:40:9
141, 0.29, 98  app.js:40:9
142, 0.29, 99  app.js:40:9
143, 0.29, 98  app.js:40:9
144, 0.29, 99  app.js:40:9
145, 0.3, 97  app.js:40:9
146, 0.3, 98  app.js:40:9
147, 0.3, 98  app.js:40:9
148, 0.3, 98  app.js:40:9
149, 0.3, 99  app.js:40:9
150, 0.31, 98  app.js:40:9
151, 0.31, 98  app.js:40:9
152, 0.31, 98  app.js:40:9
153, 0.31, 98  app.js:40:9
154, 0.31, 98  app.js:40:9
155, 0.32, 98  app.js:40:9
156, 0.32, 98  app.js:40:9
157, 0.32, 98  app.js:40:9
158, 0.32, 98  app.js:40:9
159, 0.32, 99  app.js:40:9
160, 0.33, 98  app.js:40:9
161, 0.33, 98  app.js:40:9
162, 0.33, 99  app.js:40:9
163, 0.33, 98  app.js:40:9
164, 0.33, 97  app.js:40:9
165, 0.34, 98  app.js:40:9
166, 0.34, 98  app.js:40:9
167, 0.34, 98  app.js:40:9
168, 0.34, 98  app.js:40:9
169, 0.34, 97  app.js:40:9
170, 0.35, 98  app.js:40:9
171, 0.35, 97  app.js:40:9
172, 0.35, 98  app.js:40:9
173, 0.35, 97  app.js:40:9
174, 0.35, 98  app.js:40:9
175, 0.36, 98  app.js:40:9
176, 0.36, 97  app.js:40:9
177, 0.36, 98  app.js:40:9
178, 0.36, 97  app.js:40:9
179, 0.36, 98  app.js:40:9
180, 0.37, 98  app.js:40:9
181, 0.37, 97  app.js:40:9
182, 0.37, 98  app.js:40:9
183, 0.37, 98  app.js:40:9
184, 0.37, 98  app.js:40:9
185, 0.38, 98  app.js:40:9
186, 0.38, 97  app.js:40:9
187, 0.38, 98  app.js:40:9
188, 0.38, 98  app.js:40:9
189, 0.38, 98  app.js:40:9
190, 0.39, 97  app.js:40:9
191, 0.39, 98  app.js:40:9
192, 0.39, 98  app.js:40:9
193, 0.39, 97  app.js:40:9
194, 0.39, 98  app.js:40:9
195, 0.4, 98  app.js:40:9
196, 0.4, 97  app.js:40:9
197, 0.4, 99  app.js:40:9
198, 0.4, 98  app.js:40:9
199, 0.4, 97  app.js:40:9
200, 0.41, 96  app.js:40:9
201, 0.41, 97  app.js:40:9
